,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.4801459312438965,6.8,0.0
1,बाघ,बिल्ली,5.456493496894836,7.0,0.0
2,किताब,कागज़,5.772483944892883,7.6,0.0
3,कंप्यूटर,कीबोर्ड,5.557798743247986,7.6,0.0
4,कंप्यूटर,इंटरनेट,6.982660889625549,8.0,0.0
5,विमान,कार,6.0107022523880005,6.0,0.0
6,रेलगाड़ी,कार,5.693607330322266,6.2,0.0
7,टेलीफोन,संचार,5.599376559257507,7.6,0.0
8,टेलीविजन,रेडियो,6.654108166694641,6.4,0.0
9,मीडिया,रेडियो,5.226255655288696,5.8,0.0
10,ब्रेड,मक्खन,6.223899722099304,6.6,0.0
11,खीरा,आलू,5.697427988052368,5.8,0.0
12,चिकित्सक,नर्स,6.946243643760681,7.6,0.0
13,प्रोफ़ेसर,चिकित्सक,4.2305585741996765,4.6,0.0
14,छात्र,प्रोफ़ेसर,4.828630983829498,7.0,0.0
15,होशियार,छात्र,3.8951635360717773,5.2,0.0
16,होशियार,बेवकूफ,5.70329487323761,6.2,0.0
17,किताब,पुस्तकालय,4.463667869567871,7.6,0.0
18,बैंक,पैसे,5.727217197418213,8.0,0.0
19,लकड़ी,जंगल,5.661059617996216,7.0,0.0
20,प्रोफ़ेसर,खीरा,-0.9180404990911484,0.0,0.0
21,राजा,रानी,6.560090780258179,8.2,0.0
22,बिशप,रबी,0.7509657740592957,7.0,0.0
23,यरूशलेम,इजराइल,4.483539164066315,7.8,0.0
24,पवित्र,सेक्स,3.0761587619781494,1.0,0.0
25,माराडोना,फ़ुटबॉल,4.1553279757499695,7.8,0.0
26,फ़ुटबॉल,सॉकर,6.615199446678162,9.0,0.0
27,फ़ुटबॉल,बास्केटबाल,4.650058150291443,6.4,0.0
28,फ़ुटबॉल,टेनिस,5.496612191200256,5.8,0.0
29,टेनिस,रैकेट,4.362918436527252,7.4,0.0
30,कानून,वकील,5.814512372016907,7.8,0.0
31,चलचित्र,पॉपकॉर्न,2.8328031301498413,6.6,0.0
32,चलचित्र,आलोचक,2.4103499948978424,6.6,0.0
33,चलचित्र,थिएटर,3.292841911315918,8.4,0.0
34,पीना,कार,2.4717386066913605,1.4,0.0
35,पीना,कान,2.9407599568367004,0.4,0.0
36,पीना,मुंह,4.827905595302582,7.0,0.0
37,बच्चा,मां,6.5948182344436646,7.2,0.0
38,पीना,मां,3.177725076675415,1.8,0.0
39,मणि,गहना,2.9459530115127563,6.8,0.0
40,भट्ठी,स्टोव,4.8474156856536865,8.4,0.0
41,भोजन,फल,6.671038269996643,6.6,0.0
42,पक्षी,सारस,6.895948052406311,7.4,0.0
43,भाई,साधु,3.979344964027405,1.4,0.0
44,यात्रा,कार,5.045649409294128,6.2,0.0
45,साधु,गुलाम,2.0542454719543457,0.2,0.0
46,कांच,जादूगर,2.2292478382587433,2.0,0.0
47,पैसे,मुद्रा,4.95797336101532,8.6,0.0
48,पैसे,धन,7.046533226966858,9.2,1.0
49,पैसे,संपत्ति,6.021395921707153,8.4,0.0
50,पैसे,बैंक,5.727217197418213,8.2,0.0
51,पैसे,जमा,6.297256350517273,6.6,0.0
52,पैसे,ऑपरेशन,3.440611958503723,2.6,0.0
53,बाघ,जैगुआर,2.7995896339416504,8.0,0.0
54,बाघ,जानवर,7.211980223655701,7.6,1.0
55,बाघ,चिड़ियाघर,5.449349880218506,6.8,0.0
56,मनोविज्ञान,चिंता,3.2346004247665405,6.2,0.0
57,मनोविज्ञान,डर,2.4950656294822693,5.2,0.0
58,मनोविज्ञान,डिप्रेशन,3.333207368850708,7.0,0.0
59,मनोविज्ञान,क्लिनिक,3.333352506160736,6.4,0.0
60,मनोविज्ञान,चिकित्सक,4.880690276622772,7.0,0.0
61,मनोविज्ञान,मन,3.6590421199798584,7.4,0.0
62,मनोविज्ञान,स्वास्थ्य,5.156012177467346,6.2,0.0
63,मनोविज्ञान,विज्ञान,7.4506837129592896,7.0,1.0
64,मनोविज्ञान,अनुशासन,5.041249990463257,4.2,0.0
65,,,,,0.5538461538461539
